iMAG,Ag,logSFR22,logMsT,RVel,Ai,logMHI,Dist,surface_brightness_proxy,e_logMsT,e_iMAG
-18.8,0.37,-1.0,9.12,5334,0.26,9.17,74.8,-17.688285446846386,0.09,0.1
-18.34,0.23,-1.46,8.91,5226,0.18,9.42,60.8,-17.802221550957636,0.27,0.47
-21.96,1.3,-0.1,9.46,5281,0.72,10.06,60.8,-20.708061780218777,0.18,0.42
-22.47,1.48,-1.24,10.91,5257,0.8,9.89,73.9,-21.114189272936596,0.07,0.13
-20.39,0.93,-0.51,9.82,4703,0.5,9.68,65.8,-19.01969647872578,0.06,0.09
-21.1,1.16,-0.01,9.94,11141,0.59,9.81,154.3,-20.06972587293292,0.1,0.1
-19.59,0.53,-0.38,9.69,5380,0.38,8.51,38.7,-18.162551133535654,0.17,0.41
-20.24,0.82,-1.31,9.73,5401,0.46,9.58,82.0,-19.243059700106578,0.2,0.45
-21.99,1.25,0.22,10.76,5431,0.71,10.22,125.3,-21.026843998023388,0.21,0.45
-23.22,1.71,0.38,11.37,12127,0.93,9.44,168.3,-21.628557927321122,0.03,0.04
-20.82,1.03,-0.32,10.07,4613,0.56,9.29,63.8,-19.32290874727824,0.07,0.15
-19.46,0.5,-0.88,9.51,5238,0.35,8.69,42.1,-18.531091108918794,0.21,0.44
-20.36,0.9,-0.75,9.86,5506,0.5,9.62,77.4,-18.876682886805664,0.04,0.07
-22.25,1.31,0.46,10.76,4111,0.74,9.24,59.0,-21.537052644415844,0.17,0.21
-21.23,1.07,0.32,10.35,5291,0.63,9.85,74.1,-19.73290874727824,0.05,0.07
-21.16,1.03,-0.41,10.12,10398,0.58,9.64,143.7,-20.50408933883127,0.17,0.16
-20.2,0.95,0.01,9.37,10610,0.45,10.1,146.7,-19.412973150399914,0.14,0.14
-19.97,0.78,-0.57,9.51,5163,0.43,9.22,72.3,-18.82643788240281,0.08,0.1
-22.17,1.45,0.38,10.72,5249,0.77,9.57,73.8,-20.50042656856086,0.06,0.13
-21.56,1.13,-0.93,10.61,4586,0.67,9.9,64.0,-20.18969647872578,0.06,0.09
-19.05,0.48,-1.06,9.21,4742,0.3,9.39,66.3,-17.76794093392834,0.07,0.09
-18.11,0.22,-0.57,8.82,6291,0.16,9.23,88.5,-16.668466589240015,0.05,0.07
-20.99,0.87,-0.45,10.39,4434,0.56,10.0,69.5,-20.221288250630096,0.23,0.45
-21.34,1.23,-0.68,10.26,4403,0.63,9.63,58.9,-20.07295599407887,0.09,0.17
-22.21,1.37,0.09,10.75,5144,0.75,9.78,73.8,-21.16322416285454,0.11,0.16
-21.03,1.14,0.25,10.03,5844,0.6,9.38,82.2,-19.505586070947764,0.04,0.07
-21.37,0.9,-0.57,10.59,4652,0.59,10.02,76.6,-20.935116732191407,0.29,0.47
-22.25,1.37,-0.5,10.8,5446,0.76,9.64,76.4,-21.12231095159946,0.09,0.1
-18.67,0.3,-1.21,9.16,4679,0.24,9.18,65.3,-17.358178677662547,0.07,0.09
-22.31,1.47,-0.63,10.8,4537,0.78,9.72,60.0,-20.93969647872578,0.19,0.45
-21.83,1.37,0.1,10.57,11776,0.71,10.08,163.4,-20.388466589240014,0.04,0.05
-19.6,0.73,-1.0,9.39,4927,0.38,9.85,80.2,-18.273429372344577,0.18,0.44
-18.66,0.38,-0.57,8.89,6251,0.23,9.21,52.7,-18.00408933883127,0.24,0.47
-19.48,0.52,-0.57,9.55,6251,0.35,9.89,88.3,-18.729738518874154,0.15,0.15
-21.64,1.19,0.07,10.64,4859,0.69,9.88,72.4,-20.075153922833763,0.06,0.13
-20.44,0.8,-0.14,9.85,5285,0.48,9.75,72.4,-19.822849805171188,0.19,0.21
-22.43,1.46,-0.05,10.82,5345,0.79,9.75,97.7,-21.208549962953324,0.19,0.46
-18.93,0.41,-1.37,9.13,4857,0.27,9.27,69.5,-18.33245774882375,0.25,0.45
-20.69,0.85,0.19,9.97,6215,0.5,9.51,76.9,-20.172464576539188,0.28,0.5
-22.05,1.34,-0.37,10.75,7420,0.74,9.83,101.3,-20.738178677662546,0.06,0.07
-20.85,1.06,-0.1,10.03,4828,0.57,9.87,66.0,-19.33921008286668,0.07,0.15
-21.3,1.13,0.28,10.29,4167,0.63,9.93,56.5,-20.078549962953325,0.19,0.45
-21.56,1.25,0.4,10.43,5643,0.68,9.7,79.1,-19.94224189485365,0.04,0.06
-22.13,1.45,-0.06,10.68,4458,0.77,9.74,62.1,-20.473280067311908,0.04,0.09
