lgMHI,lgMstar,NUVr,lgmust,lgSFR_tot_median,W50cor,INCL,lvir_ratB
9.244,11.039,6.15,9.34,-1.149731,0.0,29.0,-1.9792932
9.96,9.93393,1.64,8.24,0.20569792,281.0,51.9,-4.684712
10.323,11.18,5.17,8.81,-0.29459435,533.0,81.9,-3.7572114
9.74,10.317,2.86,8.92,-0.7870268,195.0,61.4,-0.16344999
9.831,10.886,4.84,9.22,0.066113845,462.0,73.5,-1.1046795
9.132,10.992,5.98,9.05,-1.0803999,0.0,42.9,-1.2775109
8.806,10.244,4.79,8.59,-0.86202526,405.0,77.9,-0.1792523
9.477,10.018,2.72,8.16,0.19436646,172.0,67.3,-0.77657944
9.228,10.38,4.52,8.94,-0.9749999,304.0,40.9,-1.3005323
8.783,10.451,4.45,9.1,-1.3462499,270.0,45.1,-3.6555486
9.5,11.105,4.75,8.92,-0.16272192,176.0,33.7,-2.054569
8.673,10.432,4.67,8.99,-0.578846,0.0,46.1,-3.2417119
9.649,10.989,4.95,9.29,0.25470853,437.0,70.9,-3.7027433
9.89,10.118,2.28,8.47,-0.016522894,234.0,33.6,-0.95442134
9.8,10.112,2.45,8.11,-0.384252,118.0,20.5,-0.9200838
9.68,10.423,2.77,8.54,0.07099455,272.0,36.9,-4.039093
8.814,9.753099,3.46,8.34,-0.2636085,119.0,51.9,-0.65235525
9.95,10.656,3.37,9.05,0.51375407,334.0,57.4,-3.9067028
8.744,10.033,5.27,8.61,-1.2677835,0.0,73.0,-0.050049394
8.041,9.402105,5.31,8.36,-1.4012096,0.0,72.5,-0.047740515
9.71,10.676,5.14,9.07,-1.3337661,246.0,34.4,0.03979405
10.02,11.198,4.73,9.22,-1.0503086,529.0,56.9,-1.3270664
8.715,10.149,4.48,8.41,-0.7515284,0.0,54.7,-0.34568372
9.206,10.76,3.78,8.81,0.08943086,316.0,57.1,-0.50971097
8.791,10.607,5.65,9.07,-0.75624996,0.0,50.2,-0.38348812
10.08,10.875,2.99,8.58,-0.2812079,314.0,40.8,-1.9164342
9.98,10.388,2.87,8.62,0.39862913,251.0,72.4,-0.9471086
8.757,10.57,5.62,8.97,-1.4033949,0.0,44.5,-1.0260268
9.022,10.909,5.96,9.09,-1.0694852,0.0,48.8,-1.4846003
9.146,10.949,5.6,9.15,-0.4796153,0.0,60.3,-4.0659895
9.267,10.825,4.73,9.44,0.9490953,462.0,64.9,-1.1007922
9.63,10.54,4.54,9.19,-0.5270333,375.0,79.4,-4.2283306
9.239,11.044,5.75,8.91,-0.83760315,0.0,44.4,-1.4057734
9.365,10.999,5.51,8.74,-1.0617646,216.0,45.2,-2.3361447
9.95,10.756,2.95,8.68,0.37931037,234.0,59.3,-1.2991765
8.935,10.808,5.72,9.32,-1.1159722,0.0,40.2,-4.498323
9.98,10.162,2.22,8.09,0.35716012,276.0,57.4,-1.4503229
9.319,11.192,6.53,9.01,-1.0635761,0.0,15.4,-1.6320698
9.8,10.125,2.22,8.14,0.2860657,135.0,25.3,-0.9496396
9.255,11.166,5.8,9.29,-1.0940789,0.0,33.8,-0.69919086
9.93,10.54,3.0,8.69,0.25169322,397.0,59.5,-3.5673616
9.582,11.042,5.71,9.24,-0.7989652,433.0,57.7,-3.5219324
9.096,10.476,3.67,8.74,-0.57702684,389.0,66.2,-4.3253636
8.753,10.324,5.75,8.77,-1.3633586,274.0,36.2,-0.53701514
9.83,10.806,3.2,9.29,-0.35806444,412.0,61.7,-0.29113057
8.673,10.123,4.4,8.45,-1.1670067,0.0,85.6,-0.07519612
10.456,11.103,2.81,8.69,0.54469043,335.0,49.2,-0.007966312
9.275,11.081,6.0,9.1,-1.1662499,0.0,45.6,-0.78235763
8.682,10.428,6.85,8.98,-1.404861,0.0,68.7,-0.37896797
10.266,11.037,3.51,9.23,-0.5373132,539.0,72.1,-4.0932016
10.3,10.64,2.72,8.8,0.07832767,348.0,67.1,-3.9730709
9.255,11.258,5.83,9.13,0.15932849,0.0,52.0,-0.60602415
9.195,11.006,5.5,8.98,-0.6903291,0.0,22.2,-0.48135227
10.253,11.125,3.45,9.01,-0.3610778,457.0,39.1,-0.39150444
10.36,11.067,5.22,9.32,-1.1413332,472.0,45.3,-0.69770426
9.26,11.054,6.09,9.45,-1.1599998,0.0,35.5,-0.5393892
9.219,11.033,6.02,9.24,-1.0764534,0.0,49.7,-1.0553962
8.648,10.189,5.11,9.24,-1.0438423,0.0,58.1,-0.17840102
9.857,10.796,3.39,8.96,0.035426144,364.0,22.1,-0.61780435
8.64,10.534,5.84,9.54,-1.4910179,0.0,46.3,-2.9078186
9.69,10.251,2.77,8.47,0.19982171,212.0,38.6,-3.5568614
8.925,10.736,5.86,9.44,-1.2192054,0.0,86.0,-0.73751575
9.445,11.211,5.63,9.3,-0.8827703,440.0,40.3,-0.79008347
10.09,10.464,2.59,8.66,0.48481318,264.0,47.7,-0.6872661
9.821,10.723,4.31,8.79,0.01878314,434.0,90.0,-3.8600116
9.37,10.291,2.94,9.38,0.08877242,171.0,34.0,-3.0099251
9.465,10.417,4.6,8.7,-1.1528984,632.0,43.9,-1.1529481
9.756,10.601,3.31,8.97,0.3541666,369.0,66.7,-1.2066389
9.05,10.818,5.83,9.02,-0.8496551,0.0,68.8,-0.20924312
9.555,11.453,6.26,9.37,-0.8083939,0.0,17.3,-0.48903066
9.74,11.316,4.54,8.96,-0.7385185,516.0,46.3,-0.22304057
9.218,11.049,5.6,9.08,-0.9596384,0.0,49.7,-2.232599
9.173,10.975,5.28,9.06,-0.8053954,0.0,73.6,-3.733724
9.179,11.039,5.95,9.37,-1.0398601,0.0,36.2,-1.0711699
9.538,10.797,3.63,8.88,0.24070951,466.0,77.5,-4.365057
9.76,10.437,2.96,8.49,0.011301413,354.0,75.8,-0.24598949
10.22,10.306,2.46,8.24,-0.5517439,284.0,59.5,-0.78955245
10.19,10.704,3.0,9.02,0.47701162,165.0,48.5,-3.7403252
10.02,11.047,3.53,9.02,1.3806403,380.0,81.5,-1.6696188
10.01,10.555,2.72,8.67,0.040909246,314.0,71.6,-3.7803378
9.573,10.743,5.47,9.12,-1.3301418,434.0,56.9,-4.342808
9.764,10.597,3.35,9.0,-0.9367856,359.0,50.3,-1.8224796
9.61,10.284,2.58,8.12,-0.1359023,145.0,43.7,-3.5914643
9.881,11.022,3.95,9.13,-0.762585,660.0,56.5,-0.72789246
9.75,10.173,2.62,8.28,0.18454355,300.0,60.5,-4.194893
10.22,11.002,4.21,8.8,0.8570706,566.0,49.9,-3.5005875
9.302,10.511,3.82,9.02,0.5044073,374.0,65.1,-3.8902338
10.11,11.061,3.81,8.9,0.031223748,461.0,60.3,-3.791931
9.285,11.075,5.16,9.05,-0.59004134,0.0,44.5,-1.7096118
9.235,10.905,6.0,9.53,-1.334756,302.0,67.0,-0.78846115
8.918,10.01309,3.03,8.74,-0.5271476,227.0,58.0,-0.10983198
8.905,10.415,6.17,8.93,-1.326953,399.0,24.6,-0.49237722
9.655,10.62,5.19,9.22,-1.3419117,413.0,54.0,-0.60684174
9.11,10.096161,5.69,8.57,-1.8946279,317.0,50.7,-0.543617
10.292,10.729,3.01,8.66,0.26666674,375.0,78.9,-1.540058
9.225,9.157209,1.42,8.2,-0.34625593,136.0,43.5,-0.046745513
8.044,9.422849,5.26,8.44,-1.7302239,0.0,57.7,-0.7967574
9.3,9.087952,2.09,7.87,-0.7438931,117.0,39.7,-0.29225877
8.951,10.39,4.81,9.08,-1.3964788,294.0,31.3,-4.322559
8.806,10.34,3.96,8.41,-0.71798766,265.0,46.3,-0.34087148
9.217,11.118,6.46,9.17,-1.1129031,0.0,36.9,-0.7880731
9.99,9.833934,2.21,8.22,0.017450562,265.0,70.5,-1.0292623
