num_features,features,rmse,r2
8,"iMAG, e_iMAG, logSFR22, e_logMsT, Dist, RVel, Ai, surface_brightness_proxy",0.2527786522529804,0.7959292229967332
5,"iMAG, e_iMAG, Dist, RVel, Ag",0.25280168015526194,0.7958920399836789
7,"iMAG, e_iMAG, logSFR22, Dist, RVel, Ai, surface_brightness_proxy",0.25282565191751,0.7958533293274277
5,"iMAG, e_iMAG, logSFR22, Dist, Ag",0.2528291661489552,0.7958476540834003
6,"iMAG, logMsT, e_logMsT, RVel, Ag, surface_brightness_proxy",0.25286315388457975,0.7957927621383947
5,"logMsT, Dist, Ag, Ai, surface_brightness_proxy",0.25286623002969316,0.7957877936413388
7,"iMAG, logMsT, logSFR22, e_logMsT, RVel, Ag, Ai",0.25287845646770896,0.7957680452688937
6,"iMAG, logSFR22, Dist, Ag, Ai, surface_brightness_proxy",0.25288034919841845,0.7957649880093342
6,"iMAG, e_iMAG, logSFR22, Dist, RVel, surface_brightness_proxy",0.2528879843498767,0.7957526549925906
6,"logMsT, logSFR22, e_logMsT, Dist, Ag, Ai",0.25289474327756617,0.7957417370244048
6,"e_iMAG, logMsT, logSFR22, Dist, Ag, Ai",0.2528974825669562,0.7957373120568025
6,"e_iMAG, logMsT, e_logMsT, Dist, RVel, surface_brightness_proxy",0.252901986253561,0.795730036829596
8,"iMAG, e_iMAG, logSFR22, e_logMsT, RVel, Ag, Ai, surface_brightness_proxy",0.2529229274828667,0.7956962067968179
6,"iMAG, logMsT, logSFR22, e_logMsT, Dist, surface_brightness_proxy",0.2529234180923093,0.7956954141959389
7,"e_iMAG, logMsT, logSFR22, e_logMsT, Dist, Ag, Ai",0.25295472146258485,0.795644839062049
4,"Dist, Ag, Ai, surface_brightness_proxy",0.252961208824465,0.7956343570052332
6,"iMAG, logMsT, logSFR22, Dist, RVel, surface_brightness_proxy",0.2529635347996959,0.7956305987087633
6,"e_iMAG, logMsT, logSFR22, e_logMsT, Dist, Ag",0.25296792747878105,0.7956235009506625
5,"iMAG, e_logMsT, Dist, RVel, surface_brightness_proxy",0.2529705301648982,0.7956192954324496
7,"iMAG, logSFR22, e_logMsT, Dist, RVel, Ai, surface_brightness_proxy",0.25298038352011276,0.7956033736181588
6,"iMAG, logMsT, logSFR22, e_logMsT, RVel, Ag",0.2529944241466927,0.795580684615122
